TIMESTAMP: 2025-11-13 13:10:11.367466
DEVICE INFO: android AP3A.240905.015.A2.M536BXXSBFYG2
ADDITIONAL INFO: User initiated log sending from Home screen

[2025-11-13 12:17:38] EqualizerService: Initializing EqualizerService
[2025-11-13 12:17:38] EqualizerService: Loaded equalizer settings - Enabled: true, Preset: flat
[2025-11-13 12:17:38] EqualizerService: EqualizerService initialized successfully
[2025-11-13 12:18:41] Saved audio to: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-smile-more-often-and-it-looks-natural--3e5de79b8ffb0d5349144abb8ffdd654.aac
[2025-11-13 12:18:41] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-smile-more-often-and-it-looks-natural--3e5de79b8ffb0d5349144abb8ffdd654.aac
[2025-11-13 12:18:41] Downloading audio from: https://meditative-brains.com:3001/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-features-feel-softer-and-more-youthfu-9071609b12fa8167e63ced0bd506b16e.aac
[2025-11-13 12:18:41] Saved audio to: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-smile-more-often-and-it-looks-natural--3e5de79b8ffb0d5349144abb8ffdd654.aac
[2025-11-13 12:18:41] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-smile-more-often-and-it-looks-natural--3e5de79b8ffb0d5349144abb8ffdd654.aac
[2025-11-13 12:18:41] Downloading audio from: https://meditative-brains.com:3001/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-features-feel-softer-and-more-youthfu-9071609b12fa8167e63ced0bd506b16e.aac
[2025-11-13 12:18:42] Saved audio to: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-features-feel-softer-and-more-youthfu-9071609b12fa8167e63ced0bd506b16e.aac
[2025-11-13 12:18:42] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-features-feel-softer-and-more-youthfu-9071609b12fa8167e63ced0bd506b16e.aac
[2025-11-13 12:18:42] Downloading audio from: https://meditative-brains.com:3001/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-appreciate-the-steady-natural-restorat-a5ff9e6ce51fa654aded81ff1bdc8c0f.aac
[2025-11-13 12:18:43] Saved audio to: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-features-feel-softer-and-more-youthfu-9071609b12fa8167e63ced0bd506b16e.aac
[2025-11-13 12:18:43] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-features-feel-softer-and-more-youthfu-9071609b12fa8167e63ced0bd506b16e.aac
[2025-11-13 12:18:43] Downloading audio from: https://meditative-brains.com:3001/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-appreciate-the-steady-natural-restorat-a5ff9e6ce51fa654aded81ff1bdc8c0f.aac
[2025-11-13 12:18:43] Saved audio to: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-appreciate-the-steady-natural-restorat-a5ff9e6ce51fa654aded81ff1bdc8c0f.aac
[2025-11-13 12:18:43] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-appreciate-the-steady-natural-restorat-a5ff9e6ce51fa654aded81ff1bdc8c0f.aac
[2025-11-13 12:18:43] Downloading audio from: https://meditative-brains.com:3001/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-appearance-reflects-clean-steady-oxyg-a3b1753f61069048ae6381211a27673b.aac
[2025-11-13 12:18:44] Saved audio to: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-appreciate-the-steady-natural-restorat-a5ff9e6ce51fa654aded81ff1bdc8c0f.aac
[2025-11-13 12:18:44] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-appreciate-the-steady-natural-restorat-a5ff9e6ce51fa654aded81ff1bdc8c0f.aac
[2025-11-13 12:18:44] Downloading audio from: https://meditative-brains.com:3001/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-appearance-reflects-clean-steady-oxyg-a3b1753f61069048ae6381211a27673b.aac
[2025-11-13 12:18:44] Saved audio to: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-appearance-reflects-clean-steady-oxyg-a3b1753f61069048ae6381211a27673b.aac
[2025-11-13 12:18:44] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-appearance-reflects-clean-steady-oxyg-a3b1753f61069048ae6381211a27673b.aac
[2025-11-13 12:18:44] Downloading audio from: https://meditative-brains.com:3001/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-honor-my-bodys-beauty-by-choosing-clea-e14207e76786560ecb55f6c535b52140.aac
[2025-11-13 12:18:45] Saved audio to: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-appearance-reflects-clean-steady-oxyg-a3b1753f61069048ae6381211a27673b.aac
[2025-11-13 12:18:45] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-appearance-reflects-clean-steady-oxyg-a3b1753f61069048ae6381211a27673b.aac
[2025-11-13 12:18:45] Downloading audio from: https://meditative-brains.com:3001/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-honor-my-bodys-beauty-by-choosing-clea-e14207e76786560ecb55f6c535b52140.aac
[2025-11-13 12:18:45] Saved audio to: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-honor-my-bodys-beauty-by-choosing-clea-e14207e76786560ecb55f6c535b52140.aac
[2025-11-13 12:18:45] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-honor-my-bodys-beauty-by-choosing-clea-e14207e76786560ecb55f6c535b52140.aac
[2025-11-13 12:18:45] Downloading audio from: https://meditative-brains.com:3001/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-reflection-shows-a-healthier-happier--8ed511fa1da676df0f0881d6664cf2c2.aac
[2025-11-13 12:18:46] Saved audio to: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-honor-my-bodys-beauty-by-choosing-clea-e14207e76786560ecb55f6c535b52140.aac
[2025-11-13 12:18:46] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-honor-my-bodys-beauty-by-choosing-clea-e14207e76786560ecb55f6c535b52140.aac
[2025-11-13 12:18:46] Downloading audio from: https://meditative-brains.com:3001/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-reflection-shows-a-healthier-happier--8ed511fa1da676df0f0881d6664cf2c2.aac
[2025-11-13 12:18:47] Saved audio to: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-reflection-shows-a-healthier-happier--8ed511fa1da676df0f0881d6664cf2c2.aac
[2025-11-13 12:18:47] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-reflection-shows-a-healthier-happier--8ed511fa1da676df0f0881d6664cf2c2.aac
[2025-11-13 12:18:47] Saved audio to: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-reflection-shows-a-healthier-happier--8ed511fa1da676df0f0881d6664cf2c2.aac
[2025-11-13 12:18:47] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-reflection-shows-a-healthier-happier--8ed511fa1da676df0f0881d6664cf2c2.aac
[2025-11-13 12:19:17] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/blood-flow-nourishes-collagen-and-brings-d1fc993ca972286cd9c2c3eb3433873b.aac
[2025-11-13 12:19:56] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-face-looks-more-rested-and-youthful-e-1a96a4ebcc838271bd6064d5f5d240e4.aac
[2025-11-13 12:20:34] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-notice-clearer-eyes-and-brighter-skin--d21c4c9ff8309e115e74e21021eeaea0.aac
[2025-11-13 12:21:12] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-hair-receives-better-nutrients-and-lo-072b23bf9fb84a439d268b0f94462c9d.aac
[2025-11-13 12:21:50] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/be-calm-and-relaxed-be-positive-keep-smi-9b996c5ac02876cb7ddeae366d19b8d7.aac
[2025-11-13 12:22:32] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/you-are-not-missing-nicotine--you-are-be-6fe00122c21c81a473f7a35274cf35e5.aac
[2025-11-13 12:23:11] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-complexion-gains-natural-color-and-vi-a21db582a799856a20054a90d4c11585.aac
[2025-11-13 13:09:54] EqualizerService: Initializing EqualizerService
[2025-11-13 13:09:54] EqualizerService: Loaded equalizer settings - Enabled: true, Preset: flat
[2025-11-13 13:09:54] EqualizerService: EqualizerService initialized successfully
[2025-11-13 13:10:03] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-skin-glows-with-improved-circulation--c865ecc7143b3ccd17421bf6b6a3f872.aac
[2025-11-13 13:10:03] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/blood-flow-nourishes-collagen-and-brings-d1fc993ca972286cd9c2c3eb3433873b.aac
[2025-11-13 13:10:03] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-face-looks-more-rested-and-youthful-e-1a96a4ebcc838271bd6064d5f5d240e4.aac
[2025-11-13 13:10:03] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-skin-glows-with-improved-circulation--c865ecc7143b3ccd17421bf6b6a3f872.aac
[2025-11-13 13:10:03] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-hair-receives-better-nutrients-and-lo-072b23bf9fb84a439d268b0f94462c9d.aac
[2025-11-13 13:10:03] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/be-calm-and-relaxed-be-positive-keep-smi-9b996c5ac02876cb7ddeae366d19b8d7.aac
[2025-11-13 13:10:04] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/you-are-not-missing-nicotine--you-are-be-6fe00122c21c81a473f7a35274cf35e5.aac
[2025-11-13 13:10:04] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-complexion-gains-natural-color-and-vi-a21db582a799856a20054a90d4c11585.aac
[2025-11-13 13:10:04] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/fine-lines-soften-as-circulation-and-rep-48e3e47b6e7fdd11f81fdf3d5ae2db35.aac
[2025-11-13 13:10:04] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-see-steady-improvements-in-my-natural--939a3e4d48ca62714b4f438a6c23de00.aac
[2025-11-13 13:10:04] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/fresh-air-helps-my-skin-renew-itself-nig-439ef550d09cdffda9d65aee088a5102.aac
[2025-11-13 13:10:04] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-natural-scent-becomes-clean-and-pleas-32f65f9e1ce3661f626b40c708134228.aac
[2025-11-13 13:10:04] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-lips-and-mouth-feel-healthier-every-d-67b1018846884046207a56d20f737b3e.aac
[2025-11-13 13:10:04] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/more-you-are-relaxed-easier-it-is-to-sta-4986f1580fe1a408bacb5cdcf53556b5.aac
[2025-11-13 13:10:04] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-skin-drinks-in-oxygen-and-repairs-bea-bd7c42bbac58a175be259480c38fbb44.aac
[2025-11-13 13:10:04] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-feel-more-confident-in-my-clear-fresh--5d098d08ac134d9c67ab535bcb5dd5bb.aac
[2025-11-13 13:10:04] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/hydration-and-nutrient-delivery-improve--814d10bf15c35548d5f52ef0d5a02fc2.aac
[2025-11-13 13:10:04] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-enjoy-seeing-visible-benefits-in-the-m-89b4747df13c9a197c4ac88d4dc35491.aac
[2025-11-13 13:10:04] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/keep-believing-it-is-easy-you-can-do-it-ca40c0f715480e7b9ad746405d8ada8a.aac
[2025-11-13 13:10:05] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-hair-shines-more-as-blood-flow-return-8183df07531d97bba3728b3c9fdd1761.aac
[2025-11-13 13:10:05] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-complexion-reflects-my-inner-health-a-4a375b819926f60bb6731b62454fb284.aac
[2025-11-13 13:10:05] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-am-grateful-for-my-renewed-skin-and-en-63b9d20df04d16f2ae298aa9dca052c9.aac
[2025-11-13 13:10:05] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/small-smoke-free-choices-create-visible--27135582f2b0f17bb3543917bf4b234d.aac
[2025-11-13 13:10:05] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-smile-more-often-and-it-looks-natural--3e5de79b8ffb0d5349144abb8ffdd654.aac
[2025-11-13 13:10:05] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-features-feel-softer-and-more-youthfu-9071609b12fa8167e63ced0bd506b16e.aac
[2025-11-13 13:10:05] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-appreciate-the-steady-natural-restorat-a5ff9e6ce51fa654aded81ff1bdc8c0f.aac
[2025-11-13 13:10:05] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-appearance-reflects-clean-steady-oxyg-a3b1753f61069048ae6381211a27673b.aac
[2025-11-13 13:10:05] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/i-honor-my-bodys-beauty-by-choosing-clea-e14207e76786560ecb55f6c535b52140.aac
[2025-11-13 13:10:05] Using cached audio: /data/user/0/com.example.motivation_app/app_flutter/audio-cache/en-IN/quit-smoking---skin-hair-and-appearance/en-GB-AdaMultilingualNeural/my-reflection-shows-a-healthier-happier--8ed511fa1da676df0f0881d6664cf2c2.aac
[2025-11-13 13:10:11] Sending debug logs to server...
